well,name,Ct,copies
1,0.01c,21.29,0.01
2,0.01c,21.41,0.01
3,0.01c,20.65,0.01
4,0.01c,21.02,0.01
5,0.1c,21.1,0.1
6,0.1c,20.32,0.1
7,0.1c,20.91,0.1
8,0.1c,21.53,0.1
9,1c,20.19,1
10,1c,21.39,1
11,1c,21.22,1
12,1c,21.27,1
13,1c,20.86,1
14,1c,21.75,1
15,1c,21.5,1
16,1c,21.39,1
17,10c,18.82,10
18,10c,20.55,10
19,10c,20.62,10
20,10c,18.31,10
21,10c,20.08,10
22,10c,19.58,10
23,10c,19.6,10
24,10c,19.06,10
25,100c,21.28,100
26,100c,21.29,100
27,100c,21.36,100
28,100c,21.09,100
29,100c,18.91,100
30,100c,19,100
31,100c,21.03,100
32,100c,20.94,100
33,1Tc,19.41,"1,000.00"
34,1Tc,18.39,"1,000.00"
35,1Tc,19.08,"1,000.00"
36,1Tc,17.99,"1,000.00"
37,1Tc,19.02,"1,000.00"
38,1Tc,17.23,"1,000.00"
39,1Tc,18.36,"1,000.00"
40,1Tc,17.91,"1,000.00"
41,10Tc,16.2,"10,000.00"
42,10Tc,15.88,"10,000.00"
43,10Tc,16.18,"10,000.00"
44,10Tc,16.16,"10,000.00"
45,10Tc,16.24,"10,000.00"
46,10Tc,15.29,"10,000.00"
47,10Tc,16.66,"10,000.00"
48,10Tc,15.22,"10,000.00"
49,100Tc,12.85,"100,000.00"
50,100Tc,12.56,"100,000.00"
51,100Tc,12.98,"100,000.00"
52,100Tc,12.91,"100,000.00"
53,100Tc,13.38,"100,000.00"
54,100Tc,13.86,"100,000.00"
55,100Tc,13.69,"100,000.00"
56,100Tc,12.7,"100,000.00"
57,1Mc,10.55,"1,000,000.00"
58,1Mc,10.43,"1,000,000.00"
59,1Mc,10.46,"1,000,000.00"
60,1Mc,10.61,"1,000,000.00"
61,1Mc,10.42,"1,000,000.00"
62,1Mc,10.34,"1,000,000.00"
63,1Mc,10.28,"1,000,000.00"
64,1Mc,10.25,"1,000,000.00"
65,10Mc,6.91,"10,000,000.00"
66,10Mc,6.91,"10,000,000.00"
67,10Mc,7.79,"10,000,000.00"
68,10Mc,6.95,"10,000,000.00"
69,NTC,16.01,0.00
70,NTC,19.69,0.00
71,NTC,18.71,0.00
