well,name,Ct,copies
1,0.01c,38.76,0.01
2,0.01c,,0.01
3,0.01c,39.29,0.01
4,0.01c,39.64,0.01
5,0.1c,33.73,0.1
6,0.1c,39.99,0.1
7,0.1c,38.4,0.1
8,0.1c,41.94,0.1
9,1c,33.98,1
10,1c,34.34,1
11,1c,38.2,1
12,1c,39.57,1
13,1c,37.27,1
14,1c,34.3,1
15,1c,38.53,1
16,1c,35.1,1
17,10c,32.22,10
18,10c,30.25,10
19,10c,31.37,10
20,10c,31.87,10
21,10c,32.89,10
22,10c,32.98,10
23,10c,33.55,10
24,10c,35.16,10
25,100c,28.09,100
26,100c,28.31,100
27,100c,28.01,100
28,100c,28.05,100
29,100c,28.72,100
30,100c,28.84,100
31,100c,28.18,100
32,100c,28.23,100
33,1000c,25.07,"1,000.00"
34,1000c,25.04,"1,000.00"
35,1000c,24.86,"1,000.00"
36,1000c,24.78,"1,000.00"
37,1000c,24.61,"1,000.00"
38,1000c,25.3,"1,000.00"
39,1000c,25.11,"1,000.00"
40,1000c,24.78,"1,000.00"
41,10Tc,21.38,"10,000.00"
42,10Tc,21.2,"10,000.00"
43,10Tc,21.05,"10,000.00"
44,10Tc,21.1,"10,000.00"
45,10Tc,21.13,"10,000.00"
46,10Tc,21.33,"10,000.00"
47,10Tc,21.08,"10,000.00"
48,10Tc,21.4,"10,000.00"
49,100Tc,17.85,"100,000.00"
50,100Tc,17.74,"100,000.00"
51,100Tc,17.69,"100,000.00"
52,100Tc,18.03,"100,000.00"
53,100Tc,17.45,"100,000.00"
54,100Tc,17.54,"100,000.00"
55,100Tc,17.65,"100,000.00"
56,100Tc,17.54,"100,000.00"
57,1Mc,14.22,"1,000,000.00"
58,1Mc,14.17,"1,000,000.00"
59,1Mc,14.05,"1,000,000.00"
60,1Mc,14.15,"1,000,000.00"
61,1Mc,13.95,"1,000,000.00"
62,1Mc,13.94,"1,000,000.00"
63,1Mc,14.05,"1,000,000.00"
64,1Mc,13.96,"1,000,000.00"
65,10Mc,11.17,"10,000,000.00"
66,10Mc,10.65,"10,000,000.00"
67,10Mc,10.68,"10,000,000.00"
68,10Mc,10.8,"10,000,000.00"
69,NTC,43.54,0.00
70,NTC,36.88,0.00
